year,state_abb,local police department,sheriffs office,total_population,other_pop,percent_sheriff_pop,percent_police_pop
1971,SC,842786.0,1823483.0,2683742.0,17473.0,67.9,31.4
2021,WV,576898.0,1207480.0,1784378.0,0.0,67.7,32.3
2022,WV,579590.0,1195365.0,1774955.0,0.0,67.3,32.7
2020,WV,590854.0,1205328.0,1796182.0,0.0,67.1,32.9
2019,WV,597473.0,1205093.0,1802566.0,0.0,66.9,33.1
2018,WV,603329.0,1212716.0,1816045.0,0.0,66.8,33.2
2009,WV,614822.0,1217393.0,1832215.0,0.0,66.4,33.6
2010,WV,627073.0,1239374.0,1866447.0,0.0,66.4,33.6
2012,WV,627517.0,1241324.0,1868841.0,0.0,66.4,33.6
2013,WV,627697.0,1238744.0,1866441.0,0.0,66.4,33.6
2011,WV,627868.0,1240963.0,1868831.0,0.0,66.4,33.6
2008,WV,613283.0,1213517.0,1826800.0,0.0,66.4,33.6
2015,WV,624015.0,1232103.0,1856118.0,0.0,66.4,33.6
2007,WV,615782.0,1208967.0,1824749.0,0.0,66.3,33.7
2014,WV,627992.0,1234399.0,1862391.0,0.0,66.3,33.7
2017,WV,615680.0,1211605.0,1827285.0,0.0,66.3,33.7
2016,WV,620524.0,1222112.0,1842636.0,0.0,66.3,33.7
2006,WV,619422.0,1211906.0,1831328.0,0.0,66.2,33.8
2005,WV,620844.0,1208892.0,1829736.0,0.0,66.1,33.9
2004,WV,620695.0,1207434.0,1828129.0,0.0,66.0,34.0
2003,WV,622544.0,1200292.0,1822836.0,0.0,65.8,34.2
2001,WV,626531.0,1186962.0,1813493.0,0.0,65.5,34.5
2002,WV,626508.0,1186937.0,1813445.0,0.0,65.5,34.5
2000,WV,628771.0,1191193.0,1819964.0,0.0,65.5,34.5
1961,ND,221694.0,410752.0,632446.0,0.0,64.9,35.1
1971,WV,633354.0,1120021.0,1753375.0,0.0,63.9,36.1
1999,WV,640007.0,1167250.0,1826649.0,19392.0,63.9,35.0
1961,MS,787731.0,1394291.0,2182022.0,0.0,63.9,36.1
1961,WV,672064.0,1183608.0,1855672.0,0.0,63.8,36.2
1970,WV,633799.0,1111941.0,1745740.0,0.0,63.7,36.3
1962,ND,234481.0,407532.0,642013.0,0.0,63.5,36.5
1999,SC,1443429.0,2469465.0,3912894.0,0.0,63.1,36.9
1962,WV,655831.0,1114695.0,1770526.0,0.0,63.0,37.0
1963,WV,657296.0,1118143.0,1775439.0,0.0,63.0,37.0
1962,MS,837010.0,1415179.0,2252189.0,0.0,62.8,37.2
1964,WV,670174.0,1124158.0,1794332.0,0.0,62.7,37.3
2003,SC,1555506.0,2612004.0,4167510.0,0.0,62.7,37.3
2004,SC,1577675.0,2640457.0,4218132.0,0.0,62.6,37.4
1964,ND,241312.0,403678.0,644990.0,0.0,62.6,37.4
2001,SC,1528776.0,2557510.0,4086286.0,0.0,62.6,37.4
2000,SC,1509642.0,2525403.0,4035045.0,0.0,62.6,37.4
2002,SC,1541414.0,2584163.0,4125577.0,0.0,62.6,37.4
1998,SC,1431027.0,2432298.0,3890310.0,26985.0,62.5,36.8
2005,SC,1613490.0,2661464.0,4274954.0,0.0,62.3,37.7
1963,ND,238986.0,395042.0,634028.0,0.0,62.3,37.7
2007,SC,1677881.0,2754757.0,4432638.0,0.0,62.1,37.9
2006,SC,1647039.0,2695214.0,4342253.0,0.0,62.1,37.9
1965,MS,875243.0,1423555.0,2298798.0,0.0,61.9,38.1
2008,SC,1727288.0,2778749.0,4506037.0,0.0,61.7,38.3
1961,VT,146497.0,235642.0,382139.0,0.0,61.7,38.3
1984,WV,747690.0,1206378.0,1954068.0,0.0,61.7,38.3
1972,SC,1013355.0,1661378.0,2692286.0,17553.0,61.7,37.6
1965,WV,684553.0,1102778.0,1787331.0,0.0,61.7,38.3
1965,ND,245467.0,395894.0,641361.0,0.0,61.7,38.3
1985,WV,742563.0,1195489.0,1938052.0,0.0,61.7,38.3
1991,SC,1365369.0,2226894.0,3617018.0,24755.0,61.6,37.7
2011,SC,1804265.0,2899760.0,4704025.0,0.0,61.6,38.4
2010,SC,1783336.0,2866200.0,4649536.0,0.0,61.6,38.4
1992,SC,1380539.0,2251378.0,3656971.0,25054.0,61.6,37.8
1980,WV,743833.0,1187520.0,1931353.0,0.0,61.5,38.5
2013,SC,1850626.0,2950190.0,4800816.0,0.0,61.5,38.5
2012,SC,1827576.0,2922890.0,4750466.0,0.0,61.5,38.5
2009,SC,1771876.0,2815387.0,4587263.0,0.0,61.4,38.6
1966,WV,693385.0,1099781.0,1793166.0,0.0,61.3,38.7
1993,SC,1411699.0,2263034.0,3700065.0,25332.0,61.2,38.2
1994,SC,1419970.0,2279128.0,3724575.0,25477.0,61.2,38.1
1983,WV,764295.0,1204247.0,1968542.0,0.0,61.2,38.8
1982,WV,757784.0,1193732.0,1951516.0,0.0,61.2,38.8
1981,WV,759457.0,1195064.0,1954521.0,0.0,61.1,38.9
2014,SC,1886927.0,2969280.0,4856207.0,0.0,61.1,38.9
1963,MS,891812.0,1402789.0,2294601.0,0.0,61.1,38.9
2015,SC,1919641.0,2999788.0,4919429.0,0.0,61.0,39.0
1961,SC,928375.0,1472982.0,2415751.0,14394.0,61.0,38.4
1966,MS,919097.0,1435961.0,2355058.0,0.0,61.0,39.0
1995,SC,1438385.0,2267033.0,3730957.0,25539.0,60.8,38.6
1969,WV,713853.0,1108402.0,1822255.0,0.0,60.8,39.2
1997,SC,1473883.0,2315923.0,3815949.0,26143.0,60.7,38.6
1996,SC,1448746.0,2280872.0,3755337.0,25719.0,60.7,38.6
1967,WV,706631.0,1090825.0,1797456.0,0.0,60.7,39.3
2016,SC,1958589.0,3026219.0,4984808.0,0.0,60.7,39.3
1970,MS,873984.0,1345907.0,2219891.0,0.0,60.6,39.4
1964,MS,915445.0,1402891.0,2318336.0,0.0,60.5,39.5
1966,ND,256555.0,393176.0,649731.0,0.0,60.5,39.5
2018,SC,2024629.0,3082549.0,5107178.0,0.0,60.4,39.6
2017,SC,2001202.0,3046040.0,5047242.0,0.0,60.4,39.6
1967,MS,931775.0,1420469.0,2352244.0,0.0,60.4,39.6
1964,SC,1019830.0,1572143.0,2608215.0,16242.0,60.3,39.1
1970,SC,1033664.0,1592982.0,2643750.0,17104.0,60.3,39.1
1961,SD,270149.0,410365.0,680514.0,0.0,60.3,39.7
2019,SC,2059069.0,3112840.0,5171909.0,0.0,60.2,39.8
1963,SC,992270.0,1526475.0,2535272.0,16527.0,60.2,39.1
1962,SC,967681.0,1489038.0,2471914.0,15195.0,60.2,39.1
2022,SC,2077954.0,3149113.0,5227067.0,0.0,60.2,39.8
1961,NC,1805574.0,2736207.0,4541781.0,0.0,60.2,39.8
2020,SC,2097092.0,3147895.0,5244987.0,0.0,60.0,40.0
2021,SC,2072205.0,3084962.0,5157167.0,0.0,59.8,40.2
1970,ND,248282.0,369479.0,617761.0,0.0,59.8,40.2
1962,NC,1900518.0,2815197.0,4715715.0,0.0,59.7,40.3
1967,ND,258040.0,380960.0,639000.0,0.0,59.6,40.4
1971,ND,252237.0,372763.0,625000.0,0.0,59.6,40.4
1962,SD,293098.0,427912.0,721010.0,0.0,59.3,40.7
1965,SC,1042179.0,1538809.0,2597268.0,16280.0,59.2,40.1
1967,SC,1067200.0,1564681.0,2648599.0,16718.0,59.1,40.3
1963,NC,1942486.0,2806107.0,4748593.0,0.0,59.1,40.9
1985,MT,376618.0,540334.0,916952.0,0.0,58.9,41.1
1961,AR,752037.0,1072221.0,1824258.0,0.0,58.8,41.2
1972,ND,260140.0,371860.0,632000.0,0.0,58.8,41.2
1982,MT,359138.0,511666.0,870804.0,0.0,58.8,41.2
1970,NC,2096498.0,2996407.0,5092905.0,0.0,58.8,41.2
1978,WV,769084.0,1090916.0,1860000.0,0.0,58.7,41.3
1990,SC,1444878.0,2085973.0,3555097.0,24246.0,58.7,40.6
1966,NC,2031193.0,2871563.0,4902756.0,0.0,58.6,41.4
1984,MT,367893.0,521139.0,889032.0,0.0,58.6,41.4
1983,MT,368985.0,520243.0,889228.0,0.0,58.5,41.5
1975,ND,264457.0,373503.0,637960.0,0.0,58.5,41.5
1979,WV,778962.0,1099465.0,1878427.0,0.0,58.5,41.5
1973,ND,265713.0,374287.0,640000.0,0.0,58.5,41.5
1986,MT,371885.0,523516.0,895401.0,0.0,58.5,41.5
1964,NC,2009582.0,2830601.0,4840183.0,0.0,58.5,41.5
1966,SC,1065868.0,1510548.0,2593070.0,16654.0,58.3,41.1
1972,NC,2193309.0,3061662.0,5254971.0,0.0,58.3,41.7
1971,NC,2152682.0,3004296.0,5156978.0,0.0,58.3,41.7
1981,SC,1327761.0,1875936.0,3225026.0,21329.0,58.2,41.2
1971,MS,931499.0,1297497.0,2228996.0,0.0,58.2,41.8
1985,SC,1404638.0,1983936.0,3411276.0,22702.0,58.2,41.2
1982,SC,1345185.0,1894373.0,3260946.0,21388.0,58.1,41.3
1964,SD,299813.0,415195.0,715008.0,0.0,58.1,41.9
1980,SC,1286790.0,1815533.0,3122787.0,20464.0,58.1,41.2
1984,SC,1390461.0,1948582.0,3361430.0,22387.0,58.0,41.4
1986,SC,1424175.0,1997006.0,3444418.0,23237.0,58.0,41.3
1965,SD,298741.0,412194.0,710935.0,0.0,58.0,42.0
1969,SC,1138794.0,1595860.0,2751758.0,17104.0,58.0,41.4
1965,NC,2010333.0,2781015.0,4791348.0,0.0,58.0,42.0
1983,SC,1373256.0,1923427.0,3318478.0,21795.0,58.0,41.4
1988,MT,374437.0,515469.0,889906.0,0.0,57.9,42.1
1987,SC,1450449.0,2019287.0,3493298.0,23562.0,57.8,41.5
1961,ID,277749.0,381056.0,658805.0,0.0,57.8,42.2
1963,SD,311211.0,425822.0,737033.0,0.0,57.8,42.2
1972,WV,748986.0,1027037.0,1776023.0,0.0,57.8,42.2
1988,SC,1484275.0,2054183.0,3562408.0,23950.0,57.7,41.7
1972,MS,958839.0,1307231.0,2266070.0,0.0,57.7,42.3
1975,WV,762174.0,1040826.0,1803000.0,0.0,57.7,42.3
1973,WV,756926.0,1032088.0,1789014.0,0.0,57.7,42.3
1967,NC,2127718.0,2905961.0,5033679.0,0.0,57.7,42.3
1974,WV,760698.0,1030302.0,1791000.0,0.0,57.5,42.5
1990,MT,370879.0,501890.0,872769.0,0.0,57.5,42.5
1969,MS,1005833.0,1359278.0,2365111.0,0.0,57.5,42.5
1961,MT,289108.0,390293.0,679401.0,0.0,57.4,42.6
1989,MT,375031.0,505622.0,880653.0,0.0,57.4,42.6
1974,ND,271394.0,365606.0,637000.0,0.0,57.4,42.6
1987,MT,376759.0,506008.0,882767.0,0.0,57.3,42.7
1966,SD,306591.0,410010.0,716601.0,0.0,57.2,42.8
1969,NC,2233484.0,2983579.0,5217063.0,0.0,57.2,42.8
1989,SC,1512398.0,2043606.0,3580250.0,24246.0,57.1,42.2
1963,ID,307968.0,409220.0,717188.0,0.0,57.1,42.9
1962,MT,306796.0,407191.0,713987.0,0.0,57.0,43.0
2007,LA,1891335.0,2492770.0,4384105.0,0.0,56.9,43.1
1991,MT,380571.0,501945.0,882516.0,0.0,56.9,43.1
