year,state_abb,agency_type,agencies,officers,total_staff
1960,AK,local police department,6,110.0,138.0
1960,AK,state law enforcement agency,1,0.0,0.0
1960,AL,local police department,106,1815.0,2023.0
1960,AL,sheriffs office,67,0.0,0.0
1960,AR,local police department,66,731.0,780.0
1960,AR,sheriffs office,75,0.0,0.0
1960,AZ,local police department,30,1066.0,1224.0
1960,AZ,sheriffs office,14,0.0,0.0
1960,CA,local police department,354,15949.0,18934.0
1960,CA,sheriffs office,58,0.0,0.0
1960,CA,special jurisdiction,3,0.0,0.0
1960,CO,local police department,47,1332.0,1537.0
1960,CO,sheriffs office,63,0.0,0.0
1960,CT,local police department,92,3155.0,3375.0
1960,CT,state law enforcement agency,1,443.0,647.0
1960,DC,local police department,1,2540.0,2743.0
1960,DE,local police department,11,279.0,326.0
1960,DE,sheriffs office,2,0.0,0.0
1960,DE,state law enforcement agency,1,177.0,225.0
1960,FL,local police department,145,4028.0,4863.0
1960,FL,sheriffs office,66,0.0,0.0
1960,GA,constable/marshal,3,27.0,27.0
1960,GA,local police department,121,2227.0,2434.0
1960,GA,sheriffs office,152,17.0,17.0
1960,HI,local police department,13,808.0,922.0
1960,HI,special jurisdiction,1,0.0,0.0
1960,IA,local police department,104,1412.0,1585.0
1960,IA,sheriffs office,99,0.0,0.0
1960,ID,local police department,32,359.0,404.0
1960,ID,sheriffs office,44,5.0,5.0
1960,IL,local police department,324,13940.0,16051.0
1960,IL,sheriffs office,102,0.0,0.0
1960,IN,local police department,134,3628.0,3935.0
1960,IN,sheriffs office,92,4.0,4.0
1960,IN,state law enforcement agency,1,0.0,0.0
1960,KS,local police department,93,1209.0,1420.0
1960,KS,sheriffs office,104,3.0,3.0
1960,KY,local police department,87,1450.0,1607.0
1960,KY,sheriffs office,117,0.0,0.0
1960,LA,local police department,87,1763.0,1918.0
1960,LA,sheriffs office,64,0.0,0.0
1960,LA,state law enforcement agency,1,0.0,0.0
1960,MA,local police department,201,8635.0,9182.0
1960,MA,sheriffs office,14,0.0,0.0
1960,MA,state law enforcement agency,1,0.0,0.0
1960,MD,local police department,43,3407.0,4098.0
1960,MD,sheriffs office,18,0.0,0.0
1960,MD,special jurisdiction,1,0.0,0.0
1960,ME,local police department,53,555.0,599.0
1960,ME,sheriffs office,16,0.0,0.0
1960,ME,state law enforcement agency,1,238.0,283.0
1960,MI,local police department,188,8352.0,9210.0
1960,MI,sheriffs office,83,0.0,0.0
1960,MI,special jurisdiction,1,0.0,0.0
1960,MI,state law enforcement agency,1,0.0,0.0
1960,MN,local police department,127,2095.0,2252.0
1960,MN,sheriffs office,87,0.0,0.0
1960,MO,local police department,145,4093.0,5019.0
1960,MO,sheriffs office,114,0.0,0.0
1960,MS,local police department,63,807.0,895.0
1960,MS,sheriffs office,82,0.0,0.0
1960,MT,local police department,28,309.0,348.0
1960,MT,sheriffs office,57,43.0,46.0
1960,NC,local police department,108,2482.0,2709.0
1960,NC,sheriffs office,98,0.0,0.0
1960,ND,local police department,15,261.0,282.0
1960,ND,sheriffs office,53,0.0,0.0
1960,NE,local police department,44,831.0,945.0
1960,NE,sheriffs office,93,0.0,0.0
1960,NH,local police department,24,442.0,466.0
1960,NH,sheriffs office,10,0.0,0.0
1960,NH,state law enforcement agency,1,0.0,0.0
1960,NJ,local police department,293,8981.0,9791.0
1960,NJ,sheriffs office,21,0.0,0.0
1960,NJ,special jurisdiction,1,0.0,0.0
1960,NJ,state law enforcement agency,1,0.0,0.0
1960,NM,local police department,32,614.0,719.0
1960,NM,sheriffs office,32,0.0,0.0
1960,NM,special jurisdiction,2,6.0,6.0
1960,NM,state law enforcement agency,1,0.0,0.0
1960,NV,local police department,11,307.0,361.0
1960,NV,sheriffs office,16,0.0,0.0
1960,NY,constable/marshal,1,0.0,0.0
1960,NY,local police department,281,31070.0,32903.0
1960,NY,sheriffs office,59,0.0,0.0
1960,NY,special jurisdiction,2,0.0,0.0
1960,OH,local police department,291,8313.0,9215.0
1960,OH,sheriffs office,88,0.0,0.0
1960,OH,special jurisdiction,1,0.0,0.0
1960,OK,local police department,92,1518.0,1668.0
1960,OK,sheriffs office,77,6.0,6.0
1960,OR,local police department,57,1267.0,1483.0
1960,OR,sheriffs office,36,0.0,0.0
1960,PA,local police department,441,11654.0,12707.0
1960,PA,sheriffs office,67,3.0,3.0
1960,PA,state law enforcement agency,1,0.0,0.0
1960,RI,local police department,30,1279.0,1383.0
1960,RI,sheriffs office,2,0.0,0.0
1960,RI,state law enforcement agency,1,0.0,0.0
1960,SC,local police department,72,1172.0,1287.0
1960,SC,sheriffs office,44,0.0,0.0
1960,SC,special jurisdiction,1,0.0,0.0
1960,SD,local police department,27,282.0,314.0
1960,SD,sheriffs office,67,3.0,4.0
1960,TN,local police department,81,1896.0,2138.0
1960,TN,sheriffs office,94,0.0,0.0
1960,TX,local police department,313,7182.0,8400.0
1960,TX,sheriffs office,254,2.0,2.0
1960,UT,local police department,41,523.0,590.0
1960,UT,sheriffs office,28,8.0,8.0
1960,VA,local police department,75,2374.0,2610.0
1960,VA,sheriffs office,91,17.0,18.0
1960,VA,state law enforcement agency,1,0.0,0.0
1960,VT,local police department,18,176.0,184.0
1960,VT,sheriffs office,14,0.0,0.0
1960,VT,state law enforcement agency,1,106.0,155.0
1960,WA,local police department,76,2083.0,2338.0
1960,WA,sheriffs office,39,0.0,0.0
1960,WI,local police department,133,3884.0,4122.0
1960,WI,sheriffs office,71,0.0,0.0
1960,WV,local police department,58,684.0,759.0
1960,WV,sheriffs office,55,2.0,2.0
1960,WY,local police department,20,209.0,265.0
1960,WY,sheriffs office,23,3.0,4.0
1961,AK,local police department,6,120.0,154.0
1961,AK,state law enforcement agency,1,84.0,115.0
1961,AL,local police department,106,1673.0,1883.0
1961,AL,sheriffs office,67,202.0,240.0
1961,AR,local police department,66,502.0,546.0
1961,AR,sheriffs office,75,44.0,57.0
1961,AZ,local police department,30,519.0,602.0
1961,AZ,sheriffs office,14,315.0,327.0
1961,CA,local police department,355,16311.0,19408.0
1961,CA,sheriffs office,58,5761.0,7257.0
