year,local police department,sheriffs office,other
1960,2421538.0,399575.0,0.0
1961,2694533.0,439181.0,0.0
1962,2683280.0,394278.0,0.0
1963,3194299.0,485087.0,0.0
1964,3591606.0,498924.0,0.0
1965,3708268.0,521337.0,0.0
1966,4360616.0,550988.0,0.0
1967,4767400.0,739934.0,0.0
1968,5415038.0,808229.0,0.0
1969,5877639.0,893790.0,0.0
1970,6489950.0,1019957.0,0.0
1971,7092962.0,894861.0,0.0
1972,6613411.0,914030.0,0.0
1973,7054172.0,1025133.0,0.0
1974,8871987.0,1321400.0,0.0
1975,9739715.0,1517725.0,0.0
1976,9907550.0,1507160.0,0.0
1977,9609568.0,1524945.0,0.0
1978,9838834.0,1582583.0,0.0
1979,10717883.0,1710896.0,0.0
1980,11642321.0,1872325.0,0.0
1981,11575308.0,1847348.0,0.0
1982,11337316.0,1769871.0,0.0
1983,10770457.0,1670167.0,0.0
1984,10429518.0,1647052.0,0.0
1985,11248962.0,1752218.0,0.0
1986,12132446.0,1874690.0,0.0
1987,12331032.0,1914295.0,0.0
1988,11806346.0,1648439.0,0.0
1989,13036806.0,2012345.0,39441.0
1990,13538855.0,2061714.0,44880.0
1991,13670246.0,2115284.0,48159.0
1992,13599154.0,2143088.0,68391.0
1993,13050253.0,2109978.0,69432.0
1994,13075710.0,2185511.0,71533.0
1995,12709579.0,2198104.0,71324.0
1996,11890391.0,1956772.0,45619.0
1997,11933662.0,2194592.0,50196.0
1998,11377630.0,2105280.0,43881.0
1999,10723483.0,2049992.0,38750.0
2000,10898573.0,2091927.0,37731.0
2001,11222710.0,2180008.0,39674.0
2002,11333144.0,2219003.0,43535.0
2003,11238495.0,2226443.0,79883.0
2004,11222715.0,2259867.0,94944.0
2005,11125192.0,2259022.0,93755.0
2006,11144778.0,2318518.0,92576.0
2007,11095620.0,2322586.0,88800.0
2008,10988600.0,2315921.0,88428.0
2009,10636185.0,2249629.0,86103.0
2010,10382176.0,2229325.0,90341.0
2011,10256913.0,2230632.0,89213.0
2012,10260006.0,2191877.0,90613.0
2013,9868319.0,2051387.0,86778.0
2014,9452055.0,1959447.0,82235.0
2015,9349415.0,1919470.0,81530.0
2016,9418887.0,1923853.0,80122.0
2017,9213173.0,1852535.0,77822.0
2018,8595489.0,1643530.0,71665.0
2019,8344579.0,1600996.0,70529.0
2020,8099254.0,1633651.0,60602.0
2021,6125522.0,1325042.0,10455.0
2022,8417721.0,1598687.0,55404.0
2023,8505043.0,1489220.0,53049.0
