state,total_agency_staff,local police department,sheriffs office,pct_sheriff,pct_local_police,pct_other,year,total_incidents,sheriff_incidents,police_incidents,other_incidents,pct_sheriff_incidents,pct_police_incidents,pct_others_incidents
LA,15683.0,5717.0,9796.0,0.6246253905502773,0.364534846649238,0.010839762800484602,,,,,,,,
MT,3517.0,1166.0,1959.0,0.5570088143303952,0.3315325561558146,0.11145862951379017,,,,,,,,
ID,5700.0,2083.0,3085.0,0.5412280701754386,0.36543859649122806,0.09333333333333334,,,,,,,,
FL,68042.0,24196.0,36546.0,0.5371094324093942,0.3556038917139414,0.10728667587666442,,,,,,,,
WY,2729.0,975.0,1350.0,0.4946866984243313,0.3572737266397948,0.14803957493587394,,,,,,,,
SD,3010.0,1375.0,1432.0,0.4757475083056478,0.4568106312292359,0.06744186046511629,,,,,,,,
SC,16385.0,6214.0,7537.0,0.4599938968568813,0.37924931339639917,0.16075678974671956,,,,,,,,
GA,35068.0,13901.0,15880.0,0.4528344929850576,0.3964012775179651,0.1507642294969773,,,,,,,,
MN,15023.0,7074.0,6737.0,0.4484457165679292,0.47087798708646744,0.0806762963456034,,,,,,,,
IA,8414.0,3656.0,3744.0,0.44497266460660806,0.43451390539576895,0.120513429997623,,,,,,,,
MS,8881.0,4086.0,3922.0,0.441616935029839,0.4600833239500056,0.09829974102015539,,,,,,,,
CA,115610.0,51418.0,50650.0,0.43811089006141335,0.44475391402127845,0.11713519591730819,,,,,,,,
TN,27170.0,11819.0,11424.0,0.42046374677953624,0.43500184026499816,0.1445344129554656,,,,,,,,
NC,33135.0,14734.0,13863.0,0.41837935717519237,0.4446657612796137,0.1369548815451939,,,,,,,,
OR,10572.0,4649.0,4370.0,0.41335603480892924,0.439746500189179,0.1468974650018918,,,,,,,,
WI,17622.0,9251.0,7174.0,0.40710475541936214,0.5249687890137328,0.067926455566905,,,,,,,,
AR,10567.0,5145.0,4209.0,0.3983155105517176,0.48689315794454435,0.11479133150373805,,,,,,,,
ND,2411.0,1192.0,937.0,0.38863542098714227,0.49440066362505186,0.11696391538780589,,,,,,,,
AL,15872.0,9327.0,5854.0,0.3688256048387097,0.5876386088709677,0.04353578629032258,,,,,,,,
NE,5366.0,2632.0,1967.0,0.3665672754379426,0.4904957137532613,0.14293701080879612,,,,,,,,
KS,8310.0,4636.0,2986.0,0.35932611311672685,0.5578820697954272,0.08279181708784597,,,,,,,,
CO,17308.0,9684.0,6016.0,0.34758493182343425,0.5595100531546106,0.09290501502195517,,,,,,,,
WV,4065.0,1649.0,1411.0,0.34710947109471096,0.4056580565805658,0.24723247232472326,,,,,,,,
TX,96900.0,48728.0,32031.0,0.33055727554179565,0.5028689370485037,0.16657378740970072,,,,,,,,
MI,24236.0,12255.0,7919.0,0.32674533751444135,0.5056527479782142,0.16760191450734443,,,,,,,,
OH,26391.0,15289.0,8256.0,0.31283392065476867,0.5793262854761093,0.10783979386912206,,,,,,,,
UT,8167.0,4442.0,2510.0,0.3073343945145096,0.5438961675033672,0.14876943798212316,,,,,,,,
IN,12128.0,6949.0,3512.0,0.2895778364116095,0.572971635883905,0.1374505277044855,,,,,,,,
AZ,21420.0,13197.0,5921.0,0.27642390289449115,0.6161064425770308,0.10746965452847806,,,,,,,,
OK,11547.0,7774.0,3184.0,0.2757426171299905,0.6732484628041916,0.05100892006581796,,,,,,,,
VA,24012.0,12903.0,6423.0,0.26749125437281357,0.5373563218390804,0.19515242378810593,,,,,,,,
WA,14901.0,8820.0,3718.0,0.24951345547278705,0.5919065834507751,0.15857996107643782,,,,,,,,
IL,40071.0,26311.0,9809.0,0.2447904968680592,0.6566095181053629,0.09859998502657782,,,,,,,,
NM,6607.0,4015.0,1599.0,0.24201604359013168,0.607688814893295,0.15029514151657333,,,,,,,,
MO,16955.0,10145.0,4088.0,0.241108817457977,0.5983485697434385,0.16054261279858448,,,,,,,,
KY,8875.0,4231.0,2067.0,0.23290140845070423,0.4767323943661972,0.2903661971830986,,,,,,,,
MD,19996.0,11850.0,3574.0,0.17873574714942989,0.592618523704741,0.22864572914582917,,,,,,,,
ME,2977.0,1909.0,509.0,0.17097749412159893,0.641249580114209,0.18777292576419213,,,,,,,,
NV,9517.0,7727.0,1433.0,0.15057265945150783,0.8119155195965115,0.03751182095198067,,,,,,,,
VT,1369.0,722.0,200.0,0.14609203798392986,0.5273922571219869,0.32651570489408327,,,,,,,,
NJ,37122.0,25349.0,5125.0,0.1380582942729379,0.6828565271267711,0.17908517860029094,,,,,,,,
NH,3762.0,2969.0,251.0,0.06671982987772461,0.7892078681552366,0.1440723019670388,,,,,,,,
NY,81602.0,68659.0,4532.0,0.05553785446435136,0.8413886914536408,0.1030734540820078,,,,,,,,
PA,29007.0,19803.0,1329.0,0.04581652704519599,0.6826972799669045,0.2714861929878995,,,,,,,,
HI,3378.0,3378.0,0.0,0.0,1.0,0.0,,,,,,,,
RI,3085.0,2593.0,0.0,0.0,0.8405186385737439,0.15948136142625607,,,,,,,,
DE,3289.0,1484.0,0.0,0.0,0.45120097294010336,0.5487990270598966,,,,,,,,
MA,20589.0,16702.0,0.0,0.0,0.8112098693477099,0.18879013065229006,,,,,,,,
CT,9030.0,7423.0,0.0,0.0,0.8220376522702104,0.17796234772978958,,,,,,,,
DC,4627.0,4059.0,0.0,0.0,0.8772422736114113,0.12275772638858871,,,,,,,,
AK,1337.0,1210.0,0.0,0.0,0.9050112191473448,0.09498878085265519,,,,,,,,
